acctype__cat,light__cat,numvehs__int,pop_group__cat,road_def1__cat,rdsurf__cat,rodwycls__cat,weather1__cat,contrib1__cat,drv_age__int,drv_inj__cat,drv_sex__cat,object1__cat,sobriety__cat,vehtype__cat,vehyr__int,severity__cat
C,C,4,5,H,B,1,C,N,73,0,M,V1,A,A,2006,4
C,A,4,5,H,A,1,B,N,74,0,M,V1,A,A,2002,0
B,C,2,4,H,A,4,B,N,75,0,M,V1,A,A,2003,0
C,C,2,7,H,B,1,C,N,75,0,M,V1,A,A,1995,0
D,A,2,4,H,A,4,A,N,76,0,M,V1,A,A,1971,0
C,B,3,4,H,A,1,B,N,76,0,M,V1,A,A,2006,0
D,D,2,9,H,A,8,A,N,76,0,M,V1,A,A,1987,4
C,D,2,6,H,A,1,A,N,77,0,M,V1,A,A,2006,0
D,A,2,9,H,A,10,B,N,81,0,M,V1,A,A,2006,4
C,A,2,5,H,B,4,C,N,81,0,M,V1,A,A,2002,4
C,A,2,7,H,A,1,A,H,94,0,M,V1,A,A,1995,0
D,A,4,6,H,A,4,A,N,998,0,M,V1,A,A,2004,4
A,C,2,4,H,B,1,B,N,45,2,M,V1,A,A,1997,2
A,D,2,9,H,A,8,A,N,56,2,M,V1,A,A,2004,2
D,E,2,5,H,B,4,B,N,17,3,M,V1,A,A,1991,3
C,D,2,6,H,A,1,A,N,22,3,M,V1,A,A,1997,3
C,B,3,7,H,A,1,B,N,24,3,M,V1,A,A,2003,3
C,C,2,6,H,A,1,A,N,27,3,M,V1,A,A,1995,3
D,A,2,4,H,B,1,B,N,30,3,M,V1,A,A,2002,3
A,D,2,9,H,B,8,B,N,35,3,M,V1,A,A,1990,3
D,A,2,4,H,B,5,C,N,41,3,M,V1,A,A,2004,3
C,A,5,4,H,A,1,B,N,43,3,M,V1,A,A,2005,3
D,A,2,7,H,A,4,A,N,45,3,M,V1,A,A,2002,3
D,D,2,6,H,B,1,B,N,54,3,M,V1,A,A,2002,3
A,A,2,9,H,B,8,C,N,67,3,M,V1,A,A,2008,3
C,A,2,5,H,B,1,B,N,18,4,M,V1,A,A,1992,4
C,D,3,7,H,B,1,B,N,19,4,M,V1,A,A,2004,4
C,D,3,2,H,B,1,B,N,20,4,M,V1,A,A,1981,4
B,C,2,7,H,A,1,A,N,21,4,M,V1,A,A,2007,3
D,C,2,4,H,A,4,A,N,21,4,M,V1,A,A,2002,4
B,C,2,6,H,A,1,B,N,21,4,M,V1,A,A,2001,4
C,A,2,7,H,A,4,B,N,21,4,M,V1,A,A,2002,4
B,D,2,5,H,A,1,A,N,22,4,M,V1,A,A,2004,4
C,D,3,7,H,A,1,B,N,22,4,M,V1,A,A,2007,4
D,C,2,4,D,B,4,C,O,23,4,M,V1,A,A,2001,4
C,A,3,7,H,A,4,B,N,24,4,M,V1,A,A,1998,4
C,D,3,5,H,B,1,A,N,25,4,M,V1,A,A,1998,4
A,A,2,9,H,B,4,C,N,26,4,M,V1,A,A,1998,4
D,A,2,4,H,B,1,B,N,27,4,M,V1,A,A,2007,3
B,A,2,5,H,B,1,B,N,27,4,M,V1,A,A,2005,4
D,A,2,5,H,A,1,A,N,28,4,M,V1,A,A,2007,4
B,A,2,5,H,B,1,C,N,29,4,M,V1,A,A,2006,4
C,C,3,6,H,A,4,B,N,30,4,M,V1,A,A,2000,4
C,A,2,7,H,A,1,A,H,32,4,M,V1,A,A,1999,4
C,D,2,4,H,A,1,B,N,33,4,M,V1,A,A,2007,4
C,B,2,9,H,B,8,B,N,33,4,M,V1,A,A,1987,4
C,C,2,6,H,B,1,C,N,33,4,M,V1,A,A,2005,4
C,A,2,7,H,B,4,C,N,33,4,M,V1,A,A,2000,4
C,C,3,7,H,A,1,B,N,34,4,M,V1,A,A,1992,4
A,C,2,7,H,B,1,B,N,34,4,M,V1,A,A,2002,4
B,A,2,5,H,B,1,B,N,35,4,M,V1,A,A,2005,4
C,D,2,7,H,B,1,B,N,35,4,M,V1,A,A,1997,4
C,A,2,9,H,A,10,B,N,35,4,M,V1,A,A,2002,4
C,D,2,9,H,B,1,B,N,37,4,M,V1,A,A,2004,4
C,C,5,7,H,B,1,C,I,38,4,M,V1,A,A,2005,2
C,D,4,7,H,A,1,B,N,38,4,M,V1,A,A,2001,4
D,D,2,5,H,B,8,B,N,38,4,M,V1,A,A,1991,4
C,A,2,4,H,B,1,B,N,39,4,M,V1,A,A,2006,4
D,D,2,9,H,B,3,C,N,40,4,M,V1,A,A,1992,3
B,C,3,9,H,B,6,C,N,40,4,M,V1,A,A,1999,4
D,C,2,4,H,B,3,C,N,42,4,M,V1,A,A,1993,3
B,A,2,5,H,A,3,B,N,42,4,M,V1,A,A,2005,4
B,A,2,6,H,B,1,C,N,42,4,M,V1,A,A,2007,4
B,A,2,9,H,A,10,B,N,43,4,M,V1,A,A,2002,3
B,C,2,5,H,A,4,A,N,43,4,M,V1,A,A,1999,4
B,D,2,6,H,B,1,C,N,43,4,M,V1,A,A,2000,4
C,E,2,7,H,A,1,A,N,45,4,M,V1,A,A,2002,4
B,C,3,7,H,B,1,C,N,45,4,M,V1,A,A,2007,4
C,C,3,6,H,A,1,B,N,47,4,M,V1,A,A,1999,4
H,C,2,6,H,B,1,B,N,47,4,M,V1,A,A,1995,4
B,A,3,4,H,B,1,B,N,48,4,M,V1,A,A,1994,3
C,C,2,5,H,B,1,C,N,48,4,M,V1,A,A,1997,4
C,C,2,6,H,A,1,A,N,49,4,M,V1,A,A,2005,4
B,A,2,7,H,B,1,C,N,49,4,M,V1,A,A,2000,4
A,A,2,2,H,A,8,A,N,50,4,M,V1,A,A,2001,4
D,A,2,4,H,A,4,A,N,51,4,M,V1,A,A,2008,3
C,D,2,4,H,B,1,C,N,51,4,M,V1,A,A,2006,4
D,A,2,9,H,A,8,B,N,52,4,M,V1,A,A,2007,3
D,A,2,5,H,B,1,C,N,52,4,M,V1,A,A,2001,3
B,C,2,5,H,B,1,C,I,55,4,M,V1,A,A,1993,4
D,C,2,9,H,A,8,A,N,55,4,M,V1,A,A,1995,4
D,B,3,9,H,A,9,A,N,55,4,M,V1,A,A,2006,4
C,A,2,6,H,A,1,B,N,56,4,M,V1,A,A,2001,4
C,D,2,7,H,A,1,B,N,56,4,M,V1,A,A,2003,4
D,C,2,9,H,A,9,B,N,58,4,M,V1,A,A,2001,2
C,C,2,5,H,B,1,C,M,60,4,M,V1,A,A,2001,4
C,D,2,7,H,B,1,C,N,61,4,M,V1,A,A,2002,4
C,A,2,5,H,B,1,C,N,63,4,M,V1,A,A,2003,4
B,A,2,7,H,B,1,B,N,64,4,M,V1,A,A,1990,4
B,A,2,5,H,A,1,A,N,67,4,M,V1,A,A,2002,4
C,A,2,9,H,A,1,B,N,72,4,M,V1,A,A,1994,4
D,A,2,5,G,B,1,C,N,73,4,M,V1,A,A,1995,4
C,A,2,9,H,B,9,B,N,75,4,M,V1,A,A,2001,4
C,A,2,9,H,A,1,A,N,82,4,M,V1,A,A,1990,3
A,A,2,2,H,A,4,A,F,16,0,F,V2,A,A,2006,4
C,C,2,6,H,B,4,C,N,16,0,F,V2,A,A,2002,0
B,A,2,6,D,B,1,B,H,17,0,F,V2,A,A,2000,0
B,D,2,6,H,A,1,A,N,17,0,F,V2,A,A,2007,0
C,D,3,1,H,A,1,A,N,17,0,F,V2,A,A,1996,0
C,A,2,9,H,A,3,A,N,17,0,F,V2,A,A,2003,0
C,A,2,5,H,A,4,B,N,17,0,F,V2,A,A,1997,0
C,A,3,4,H,A,4,B,N,17,0,F,V2,A,A,2004,0
D,C,2,5,H,A,99,B,N,17,0,F,V2,A,A,2000,0
B,C,2,4,H,B,99,B,N,17,0,F,V2,A,A,2006,0
C,A,3,6,H,B,1,C,N,17,0,F,V2,A,A,1995,0
A,C,2,4,H,B,3,C,N,17,0,F,V2,A,A,1995,3
C,C,2,5,H,B,1,C,N,17,0,F,V2,A,A,1974,4
C,C,2,7,H,A,1,A,N,18,0,F,V2,A,A,1993,0
B,A,2,9,H,A,1,A,N,18,0,F,V2,A,A,2005,0
C,A,3,6,H,A,1,A,N,18,0,F,V2,A,A,2004,0
C,D,4,6,H,A,1,A,N,18,0,F,V2,A,A,2006,0
C,A,2,7,H,B,1,A,N,18,0,F,V2,A,A,2005,0
B,A,2,4,H,A,4,A,N,18,0,F,V2,A,A,1996,0
D,A,2,6,H,B,5,A,N,18,0,F,V2,A,A,2001,0
C,B,2,7,H,B,1,B,N,18,0,F,V2,A,A,2007,0
C,C,2,7,H,B,1,B,N,18,0,F,V2,A,A,1988,0
C,C,2,4,H,B,1,C,N,18,0,F,V2,A,A,2001,0
B,D,2,5,H,B,1,C,N,18,0,F,V2,A,A,2000,0
B,C,2,5,D,B,4,C,N,18,0,F,V2,A,A,1997,0
B,A,4,9,H,C,6,D,N,18,0,F,V2,A,A,1994,0
B,C,3,6,H,B,1,C,N,18,0,F,V2,A,A,2002,3
B,D,2,5,H,A,1,A,N,18,0,F,V2,A,A,2008,4
C,A,3,9,H,A,1,A,N,18,0,F,V2,A,A,2003,4
B,D,2,9,H,A,8,A,N,18,0,F,V2,A,A,1992,4
C,C,2,5,H,B,1,C,N,18,0,F,V2,A,A,1995,4
A,D,2,9,H,B,8,B,A,19,0,F,V2,A,A,2003,4
C,C,2,4,H,A,1,A,N,19,0,F,V2,A,A,2000,0
B,D,2,6,H,A,1,A,N,19,0,F,V2,A,A,2007,0
C,A,3,6,H,A,1,A,N,19,0,F,V2,A,A,1987,0
H,D,1,9,H,A,8,A,N,19,0,F,V2,A,A,2006,0
C,C,2,9,H,A,1,B,N,19,0,F,V2,A,A,2006,0
C,D,2,9,H,A,1,B,N,19,0,F,V2,A,A,2003,0
C,A,2,9,H,B,1,B,N,19,0,F,V2,A,A,1999,0
D,C,2,9,H,B,1,B,N,19,0,F,V2,A,A,2004,0
B,A,2,9,H,C,6,B,N,19,0,F,V2,A,A,1996,0
C,A,3,6,H,B,1,C,N,19,0,F,V2,A,A,2003,0
C,C,2,5,H,B,1,B,N,19,0,F,V2,A,A,2007,3
G,C,2,9,H,B,1,C,N,19,0,F,V2,A,A,1999,4
B,A,2,4,H,B,1,B,A,20,0,F,V2,A,A,2005,4
C,A,2,6,H,A,1,A,N,20,0,F,V2,A,A,2007,0
C,B,2,6,H,A,1,A,N,20,0,F,V2,A,A,1989,0
C,A,3,7,H,A,1,A,N,20,0,F,V2,A,A,2004,0
A,A,4,7,H,A,1,A,N,20,0,F,V2,A,A,2000,0
B,D,2,5,H,B,1,A,N,20,0,F,V2,A,A,1991,0
B,D,2,5,H,A,1,B,N,20,0,F,V2,A,A,1988,0
B,C,2,5,H,B,1,C,N,20,0,F,V2,A,A,2003,0
B,C,2,7,H,B,1,C,N,20,0,F,V2,A,A,1999,0
B,D,2,6,H,B,1,C,N,20,0,F,V2,A,A,1998,4
C,A,3,6,H,A,1,A,F,21,0,F,V2,A,A,2007,0
C,A,2,5,H,A,1,A,G,21,0,F,V2,A,A,2003,0
C,C,2,5,H,A,1,A,G,21,0,F,V2,A,A,2006,0
C,C,2,6,H,B,6,B,G,21,0,F,V2,A,A,2001,0
C,C,2,5,H,A,1,A,H,21,0,F,V2,A,A,2005,0
C,D,3,9,H,A,1,A,I,21,0,F,V2,A,A,2006,0
B,D,2,5,H,A,1,A,N,21,0,F,V2,A,A,1995,0
C,B,2,7,H,A,1,A,N,21,0,F,V2,A,A,2001,0
B,D,2,9,H,A,1,A,N,21,0,F,V2,A,A,1997,0
C,A,3,7,H,A,1,A,N,21,0,F,V2,A,A,2007,0
B,B,3,9,H,A,1,A,N,21,0,F,V2,A,A,2005,0
C,D,2,6,H,B,1,A,N,21,0,F,V2,A,A,2002,0
B,D,2,9,H,A,6,A,N,21,0,F,V2,A,A,2004,0
C,A,2,3,H,A,1,B,N,21,0,F,V2,A,A,2000,0
C,C,2,6,H,A,1,B,N,21,0,F,V2,A,A,2005,0
B,A,2,9,H,A,6,B,N,21,0,F,V2,A,A,1996,0
D,A,2,9,H,A,9,B,N,21,0,F,V2,A,A,2008,0
D,C,2,3,D,B,4,C,N,21,0,F,V2,A,A,2003,0
C,C,3,7,H,A,1,B,N,21,0,F,V2,A,A,1998,4
C,C,2,6,H,B,1,C,N,21,0,F,V2,A,A,2002,4
B,A,2,9,H,B,1,C,N,21,0,F,V2,A,A,2005,4
C,D,2,7,H,A,1,A,H,22,0,F,V2,A,A,2006,0
D,A,2,6,H,A,1,A,N,22,0,F,V2,A,A,2005,0
B,A,2,6,H,A,1,A,N,22,0,F,V2,A,A,2006,0
C,A,3,7,H,A,1,A,N,22,0,F,V2,A,A,1995,0
B,A,2,4,H,A,5,A,N,22,0,F,V2,A,A,1994,0
B,A,2,9,H,B,9,B,N,22,0,F,V2,A,A,2002,0
B,A,2,9,C,B,1,C,N,22,0,F,V2,A,A,1995,0
C,A,2,2,H,B,3,C,N,22,0,F,V2,A,A,2002,0
D,A,2,5,H,B,4,C,N,22,0,F,V2,A,A,2001,0
C,C,2,6,H,B,4,C,N,22,0,F,V2,A,A,2004,0
C,D,3,6,H,A,1,A,N,22,0,F,V2,A,A,1994,4
C,A,3,7,H,A,1,B,G,23,0,F,V2,A,A,2002,0
C,A,2,9,H,A,9,A,N,23,0,F,V2,A,A,2000,0
C,A,2,7,H,A,1,B,N,23,0,F,V2,A,A,2005,0
C,B,2,6,F,B,1,C,N,23,0,F,V2,A,A,2003,0
D,D,2,7,C,B,1,C,N,23,0,F,V2,A,A,2003,0
B,C,2,6,H,B,5,C,N,23,0,F,V2,A,A,1998,0
D,C,3,7,H,B,1,C,N,23,0,F,V2,A,A,1998,2
B,A,2,6,H,B,1,C,N,23,0,F,V2,A,A,2004,4
B,A,2,7,H,B,1,C,N,23,0,F,V2,A,A,1999,4
C,D,3,7,H,B,1,C,N,23,0,F,V2,A,A,1998,4
C,A,2,7,H,B,1,B,F,24,0,F,V2,A,A,2003,0
C,A,2,6,H,A,1,A,I,24,0,F,V2,A,A,2008,0
C,D,2,5,H,A,1,A,N,24,0,F,V2,A,A,1999,0
C,A,2,9,H,A,6,A,N,24,0,F,V2,A,A,2002,0
B,A,2,6,H,A,1,B,N,24,0,F,V2,A,A,2000,0
C,A,2,7,H,A,1,B,N,24,0,F,V2,A,A,1995,0
B,D,2,2,H,B,1,B,N,24,0,F,V2,A,A,1999,0
B,A,2,5,H,A,3,B,N,24,0,F,V2,A,A,1997,0
D,A,2,5,H,A,4,B,N,24,0,F,V2,A,A,1998,0
C,D,2,5,H,B,1,C,N,24,0,F,V2,A,A,1987,0
B,C,2,6,H,B,1,C,N,24,0,F,V2,A,A,2002,0
A,D,2,7,H,B,1,C,N,24,0,F,V2,A,A,2006,0
C,C,3,9,H,A,1,A,N,24,0,F,V2,A,A,2000,4
C,D,2,9,H,B,4,C,N,24,0,F,V2,A,A,2006,4
C,A,2,5,H,A,1,A,A,25,0,F,V2,A,A,1994,0
D,A,2,9,G,C,8,D,A,25,0,F,V2,A,A,2007,0
C,A,2,9,H,A,6,A,G,25,0,F,V2,A,A,2007,0
C,C,3,9,H,B,1,B,G,25,0,F,V2,A,A,2001,0
C,C,2,4,H,A,1,B,H,25,0,F,V2,A,A,1989,0
B,A,2,5,H,A,1,A,N,25,0,F,V2,A,A,1992,0
B,B,2,9,H,A,1,A,N,25,0,F,V2,A,A,2006,0
B,A,2,6,H,A,1,B,N,25,0,F,V2,A,A,2004,0
C,A,2,7,H,B,1,B,N,25,0,F,V2,A,A,1995,0
B,C,2,7,H,B,1,B,N,25,0,F,V2,A,A,1993,0
C,A,2,9,H,B,1,B,N,25,0,F,V2,A,A,2006,0
C,C,5,7,H,B,1,B,N,25,0,F,V2,A,A,2001,0
D,A,2,5,H,A,4,B,N,25,0,F,V2,A,A,2002,0
C,C,5,6,H,A,1,B,N,25,0,F,V2,A,A,2006,4
D,A,2,7,H,B,1,B,N,25,0,F,V2,A,A,1994,4
C,A,2,3,H,A,1,B,G,26,0,F,V2,A,A,2002,0
C,A,2,5,H,A,1,B,G,26,0,F,V2,A,A,1991,0
C,A,2,5,H,A,4,B,G,26,0,F,V2,A,A,1993,4
D,C,2,9,H,A,1,A,H,26,0,F,V2,A,A,2007,0
C,A,2,5,H,B,1,A,N,26,0,F,V2,A,A,1994,0
B,A,2,7,H,A,1,B,N,26,0,F,V2,A,A,2008,0
C,C,2,7,H,A,1,B,N,26,0,F,V2,A,A,2006,0
C,A,2,9,H,B,6,B,N,26,0,F,V2,A,A,1998,0
C,D,2,9,H,B,8,B,N,26,0,F,V2,A,A,2002,0
D,A,2,5,H,B,4,C,N,26,0,F,V2,A,A,1997,0
D,A,2,6,H,B,1,B,N,26,0,F,V2,A,A,1992,4
C,A,2,9,C,C,10,D,A,27,0,F,V2,A,A,2003,0
C,A,2,5,H,A,1,B,G,27,0,F,V2,A,A,2005,0
C,C,2,5,H,B,1,C,H,27,0,F,V2,A,A,1989,0
C,C,2,9,H,A,1,A,N,27,0,F,V2,A,A,2008,0
C,D,3,6,H,A,1,A,N,27,0,F,V2,A,A,1998,0
B,C,2,5,H,A,1,B,N,27,0,F,V2,A,A,2008,0
D,A,2,6,H,B,1,B,N,27,0,F,V2,A,A,2005,0
B,A,2,7,H,B,1,B,N,27,0,F,V2,A,A,2002,0
C,A,3,9,H,A,8,B,N,27,0,F,V2,A,A,2006,0
C,A,2,6,H,A,1,A,N,27,0,F,V2,A,A,2004,4
C,C,4,5,H,B,1,C,N,27,0,F,V2,A,A,2002,4
B,C,2,9,H,A,1,A,A,28,0,F,V2,A,A,2004,0
C,C,3,6,H,A,1,A,N,28,0,F,V2,A,A,2003,0
D,C,2,5,H,B,1,B,N,28,0,F,V2,A,A,2006,0
D,A,3,4,H,A,3,B,N,28,0,F,V2,A,A,2006,0
B,A,2,2,H,B,4,C,N,28,0,F,V2,A,A,1992,0
E,A,2,9,H,C,3,D,A,29,0,F,V2,A,A,2000,0
B,C,2,9,H,A,10,A,F,29,0,F,V2,A,A,2001,0
C,C,2,6,H,B,1,B,G,29,0,F,V2,A,A,2002,0
C,A,2,9,H,B,3,B,N,29,0,F,V2,A,A,2008,0
C,A,2,9,H,A,1,B,N,29,0,F,V2,A,A,2005,4
D,C,2,4,H,B,4,B,N,29,0,F,V2,A,A,1998,4
D,D,2,5,H,B,8,B,N,29,0,F,V2,A,A,1993,4
C,A,2,7,H,B,4,C,F,30,0,F,V2,A,A,2002,4
C,A,2,2,H,A,3,A,J,30,0,F,V2,A,A,2005,0
B,A,2,5,H,A,1,A,N,30,0,F,V2,A,A,1999,0
C,D,2,5,H,A,1,A,N,30,0,F,V2,A,A,2001,0
C,A,2,6,H,A,1,A,N,30,0,F,V2,A,A,2004,0
C,D,2,6,H,A,1,A,N,30,0,F,V2,A,A,2000,0
C,A,2,7,D,A,1,A,N,30,0,F,V2,A,A,1996,0
C,C,2,9,H,A,1,A,N,30,0,F,V2,A,A,2005,0
C,A,2,9,D,A,8,A,N,30,0,F,V2,A,A,2002,0
C,C,2,7,H,B,1,B,N,30,0,F,V2,A,A,1987,0
B,A,3,6,H,B,1,C,N,30,0,F,V2,A,A,2004,0
D,C,3,5,H,B,1,B,N,30,0,F,V2,A,A,2007,3
B,A,6,6,H,A,1,B,N,30,0,F,V2,A,A,2000,4
C,A,2,6,H,A,4,A,N,31,0,F,V2,A,A,2004,0
B,A,2,4,H,A,1,B,N,31,0,F,V2,A,A,2007,0
C,B,3,5,H,A,1,B,N,31,0,F,V2,A,A,2002,0
C,C,2,6,H,B,4,B,N,31,0,F,V2,A,A,2002,0
B,A,2,9,H,B,6,C,N,31,0,F,V2,A,A,1998,0
A,A,2,7,H,B,1,C,H,32,0,F,V2,A,A,1999,3
C,C,2,5,H,A,1,A,N,32,0,F,V2,A,A,2001,0
B,A,2,7,H,A,1,A,N,32,0,F,V2,A,A,1999,0
C,A,2,4,H,A,5,A,N,32,0,F,V2,A,A,2002,0
D,A,2,9,H,A,5,A,N,32,0,F,V2,A,A,2007,0
H,A,1,9,H,B,9,B,N,32,0,F,V2,A,A,2001,0
C,A,2,9,H,B,9,C,N,32,0,F,V2,A,A,2002,0
C,A,2,7,D,A,1,B,N,32,0,F,V2,A,A,1992,4
C,C,3,5,H,B,1,C,N,32,0,F,V2,A,A,2002,4
C,D,2,5,H,B,1,B,H,33,0,F,V2,A,A,1999,0
C,A,3,7,H,A,1,A,N,33,0,F,V2,A,A,2003,0
C,A,2,5,H,A,1,B,N,33,0,F,V2,A,A,2007,0
C,A,2,6,H,B,1,B,N,33,0,F,V2,A,A,2004,0
D,D,2,9,H,B,8,C,N,33,0,F,V2,A,A,1995,0
C,C,3,6,H,B,4,C,N,33,0,F,V2,A,A,1993,4
C,A,2,7,H,A,1,A,G,34,0,F,V2,A,A,2001,0
B,D,2,9,H,A,6,A,N,34,0,F,V2,A,A,2007,0
C,D,3,5,H,A,1,A,N,34,0,F,V2,A,A,1998,4
D,A,3,7,H,B,1,B,N,34,0,F,V2,A,A,1994,4
B,A,3,4,H,B,1,C,N,34,0,F,V2,A,A,2006,4
C,A,2,9,H,A,1,A,F,35,0,F,V2,A,A,1997,0
C,C,2,7,H,A,1,B,G,35,0,F,V2,A,A,2005,0
B,A,2,9,H,A,1,A,J,35,0,F,V2,A,A,2002,0
B,A,2,7,H,A,1,B,N,35,0,F,V2,A,A,2003,0
A,C,2,4,H,B,1,B,N,35,0,F,V2,A,A,2006,0
B,A,2,7,H,B,1,C,N,35,0,F,V2,A,A,2000,0
B,A,2,9,H,C,8,A,N,36,0,F,V2,A,A,1986,0
C,A,2,7,D,A,1,B,N,36,0,F,V2,A,A,1997,0
B,A,2,7,H,A,1,B,N,36,0,F,V2,A,A,2003,0
B,C,2,6,H,B,1,C,N,36,0,F,V2,A,A,1997,0
C,D,2,5,H,A,1,A,G,37,0,F,V2,A,A,2005,0
B,D,2,6,H,A,1,A,N,37,0,F,V2,A,A,2005,0
C,A,3,3,H,A,1,A,N,37,0,F,V2,A,A,2006,0
C,B,3,5,H,A,1,A,N,37,0,F,V2,A,A,2003,0
C,D,2,9,H,A,6,A,N,37,0,F,V2,A,A,2007,0
B,B,2,5,H,A,1,B,N,37,0,F,V2,A,A,2000,0
D,A,3,4,C,B,1,B,N,37,0,F,V2,A,A,2006,0
C,C,2,7,H,B,1,C,N,37,0,F,V2,A,A,2003,0
C,C,2,6,H,B,1,B,N,37,0,F,V2,A,A,2003,3
B,C,2,5,H,B,4,B,N,37,0,F,V2,A,A,1998,4
C,D,2,9,H,B,6,C,N,37,0,F,V2,A,A,1998,4
C,A,2,7,H,A,1,A,N,38,0,F,V2,A,A,2004,0
B,B,2,7,H,B,1,A,N,38,0,F,V2,A,A,2000,0
C,A,3,5,H,A,4,A,N,38,0,F,V2,A,A,2003,0
C,C,2,5,H,B,1,C,N,38,0,F,V2,A,A,2005,0
C,A,2,6,H,B,1,B,F,39,0,F,V2,A,A,1996,0
B,A,2,5,H,A,1,A,N,39,0,F,V2,A,A,1999,0
C,C,2,5,H,B,4,C,N,39,0,F,V2,A,A,1998,0
C,A,2,9,H,B,8,B,F,40,0,F,V2,A,A,1994,0
C,A,2,7,H,A,1,A,N,40,0,F,V2,A,A,1996,0
G,C,2,5,H,B,4,C,N,40,0,F,V2,A,A,2007,2
C,C,2,9,H,A,1,B,N,41,0,F,V2,A,A,2003,0
C,A,2,5,H,A,1,B,A,42,0,F,V2,A,A,2008,0
C,C,2,5,H,A,1,B,N,42,0,F,V2,A,A,2008,0
B,D,2,7,H,B,1,C,N,42,0,F,V2,A,A,2003,0
B,C,2,7,H,A,1,A,N,42,0,F,V2,A,A,1997,3
C,C,2,4,H,A,4,A,N,42,0,F,V2,A,A,2007,4
C,A,3,9,H,A,8,B,F,43,0,F,V2,A,A,2003,4
C,A,2,7,H,B,1,B,G,43,0,F,V2,A,A,2005,0
C,C,2,5,H,A,1,A,H,43,0,F,V2,A,A,2003,0
D,C,2,7,H,B,1,B,N,43,0,F,V2,A,A,2002,0
D,A,2,4,H,A,4,B,N,43,0,F,V2,A,A,1989,0
F,A,2,5,H,B,1,B,N,43,0,F,V2,A,A,2002,4
A,D,2,9,H,B,1,B,I,44,0,F,V2,A,A,2005,0
B,A,2,6,H,A,1,A,N,44,0,F,V2,A,A,2000,0
D,C,2,6,H,B,5,B,F,45,0,F,V2,A,A,2003,0
C,A,2,7,H,B,1,A,N,45,0,F,V2,A,A,2004,0
C,B,2,2,H,A,8,A,K,46,0,F,V2,A,A,2002,4
C,A,2,6,H,A,1,A,N,46,0,F,V2,A,A,2000,0
D,A,2,6,H,B,1,B,N,46,0,F,V2,A,A,2003,0
D,A,2,9,H,A,8,B,N,46,0,F,V2,A,A,2007,0
C,B,2,9,H,A,1,A,N,46,0,F,V2,A,A,1990,4
C,A,2,7,H,A,1,A,N,47,0,F,V2,A,A,2005,0
B,D,2,6,H,B,1,B,N,47,0,F,V2,A,A,2003,0
D,A,2,3,H,C,5,B,N,47,0,F,V2,A,A,1997,0
B,C,2,7,H,B,1,C,N,47,0,F,V2,A,A,2008,0
C,C,2,7,H,B,4,F,N,47,0,F,V2,A,A,1999,0
C,A,2,9,H,A,1,A,F,48,0,F,V2,A,A,1998,0
C,A,2,9,H,A,8,A,F,48,0,F,V2,A,A,2001,0
B,D,2,6,H,A,1,A,N,48,0,F,V2,A,A,1998,0
C,A,2,7,H,A,1,A,N,48,0,F,V2,A,A,2004,0
B,C,2,5,H,A,1,A,I,49,0,F,V2,A,A,2005,0
C,C,2,5,H,B,1,B,I,49,0,F,V2,A,A,2001,0
C,A,2,9,H,C,8,D,I,49,0,F,V2,A,A,2002,0
C,A,2,3,H,B,1,B,N,49,0,F,V2,A,A,1997,0
B,C,2,5,H,B,1,C,N,49,0,F,V2,A,A,2001,0
C,D,2,3,H,A,1,B,G,50,0,F,V2,A,A,2007,0
C,A,3,6,H,A,4,B,N,50,0,F,V2,A,A,2002,0
C,A,2,9,H,B,9,E,N,50,0,F,V2,A,A,1991,0
B,C,2,6,H,A,1,A,H,51,0,F,V2,A,A,2007,0
C,D,2,5,H,A,1,A,N,51,0,F,V2,A,A,2004,0
D,A,2,9,H,B,1,A,N,51,0,F,V2,A,A,2008,0
D,C,2,6,H,A,1,B,N,51,0,F,V2,A,A,2002,0
B,C,2,5,H,B,1,C,N,51,0,F,V2,A,A,1998,0
D,A,2,7,H,A,4,A,N,51,0,F,V2,A,A,2005,4
B,B,2,9,H,A,6,A,N,51,0,F,V2,A,A,2004,4
B,C,2,5,H,B,1,B,N,51,0,F,V2,A,A,2001,4
B,A,3,9,H,A,1,A,A,52,0,F,V2,A,A,1986,0
D,A,2,9,H,B,8,B,N,52,0,F,V2,A,A,1994,0
G,C,3,7,H,A,4,A,N,52,0,F,V2,A,A,2003,3
C,A,2,9,H,A,4,A,N,52,0,F,V2,A,A,2004,4
D,A,2,9,H,B,10,B,N,52,0,F,V2,A,A,1999,4
C,A,2,6,H,A,1,A,N,53,0,F,V2,A,A,2002,0
C,A,2,4,H,A,3,A,N,53,0,F,V2,A,A,1992,0
B,A,2,5,H,B,4,A,N,53,0,F,V2,A,A,1999,0
B,A,2,9,H,A,6,A,N,53,0,F,V2,A,A,1999,4
C,A,2,5,H,A,1,A,G,54,0,F,V2,A,A,2004,0
C,A,3,7,H,A,1,A,N,54,0,F,V2,A,A,1999,0
D,A,2,6,H,A,4,A,N,54,0,F,V2,A,A,2001,0
C,A,2,5,H,A,1,B,N,54,0,F,V2,A,A,1999,0
C,A,2,6,H,A,4,B,N,54,0,F,V2,A,A,1996,0
C,A,2,6,H,B,1,C,N,54,0,F,V2,A,A,1994,0
C,C,3,6,H,A,1,A,N,54,0,F,V2,A,A,1999,4
B,D,2,6,H,A,1,A,N,55,0,F,V2,A,A,2005,0
