lat__float,longitude__float,acctype__cat,light__cat,numvehs__cat,rdsurf__cat,rodwycls__cat,weather__cat,severity__cat
42.12854283,-89.46357328,4,4,1,2,8,1,0
42.14316295,-89.62518224,6,1,1,1,8,1,0
41.84980329,-87.83279416,11,1,2,3,5,3,0
41.8431109,-87.80337591,11,1,2,3,4,3,0
38.78756127,-89.68547885,8,1,1,4,6,5,0
41.66063542,-87.58925141,5,1,1,1,1,1,0
41.9169689,-87.74612921,10,5,2,2,4,1,0
41.74881516,-87.76073778,15,1,2,2,4,4,0
41.95403123,-87.68845619,12,5,2,1,4,1,0
41.68069643,-87.6419773,12,5,2,1,4,1,0
41.79787611,-87.58050044,12,4,2,1,5,1,0
41.72184853,-87.61887598,15,1,2,1,4,1,0
42.10561672,-87.82952097,11,1,2,2,4,3,0
42.05602899,-87.8125856,11,1,2,1,3,1,0
38.8492994,-90.04946308,6,5,1,2,4,2,0
40.64769112,-89.5512235,6,1,1,2,1,1,0
40.67124756,-89.57212596,11,1,2,1,1,1,0
40.71241037,-89.53096453,10,1,2,9,1,1,0
40.66746321,-89.57884871,12,1,2,1,5,1,0
40.63447117,-89.52033069,6,1,1,3,1,3,0
40.68523125,-89.58250962,12,2,2,1,1,1,0
42.24528145,-88.14947731,12,5,2,1,3,1,0
42.15373684,-88.02863207,13,1,2,4,4,3,0
42.19714641,-88.0162154,11,1,2,1,3,1,0
42.38582727,-88.00414817,10,4,2,2,3,7,0
42.46558897,-87.96385643,6,2,1,4,3,1,0
42.38611865,-88.00414861,6,4,1,3,3,3,0
42.17546777,-88.00143974,15,1,2,3,3,3,0
41.43335561,-89.90976286,4,4,1,2,8,2,0
41.86720367,-89.42909313,6,1,1,3,8,3,0
40.69750364,-89.87749974,12,1,2,1,8,1,0
40.70389804,-89.63271907,11,5,2,1,3,1,0
42.00917198,-87.89999815,15,5,2,1,4,1,0
42.12733599,-87.84861186,10,1,2,3,3,3,0
38.63236062,-90.14851372,6,1,1,1,1,1,0
38.60556905,-90.14759596,12,1,2,1,3,1,0
38.48062746,-89.7083292,6,4,1,1,8,1,0
38.90316687,-90.07039503,10,5,2,1,4,1,0
41.30211342,-90.33393251,6,4,1,3,6,3,0
41.4424245,-90.33058904,12,5,2,3,1,3,0
41.41618529,-89.93539986,5,4,1,3,6,3,0
